# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: skinno global
# 속성: skinno 글로벌 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240701
# 종료일: 20240731
페이지 경로 및 화면 클래스,세션 새채널그룹,조회수,세션수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,주요 이벤트,총 수익
/global/archives/822,Organic Search,13,14,13,1,42.61538461538461,70,0,0
/global/archives/category/corporates/sk-energy,Direct,13,13,12,1.0833333333333333,16.166666666666668,57,0,0
/global/archives/category/insight/trend_report,Referral,13,12,8,1.625,33,48,0,0
/global/archives/category/press-room/issue-fact,Referral,13,9,8,1.625,16.625,49,0,0
/global/archives/tag/sk-primacor-europe,Organic Search,13,11,11,1.1818181818181819,14.545454545454545,58,0,0
/global/archives/tag/skei-singapore,Organic Search,13,11,11,1.1818181818181819,10.909090909090908,63,0,0
/global/archives/tag/skti,Organic Search,13,11,10,1.3,9.9,61,0,0
/global/archives/tag/sk综合化学,Organic Search,13,9,9,1.4444444444444444,22,59,0,0
/global/latestnews,Organic Social,13,16,2,6.5,19.5,56,0,0
/global/who-we-are,Organic Search,13,12,11,1.1818181818181819,10.090909090909092,60,0,0
/global/archives/10767,Organic Search,12,12,11,1.0909090909090908,30,55,0,0
/global/archives/11596,Referral,12,10,10,1.2,53.7,52,0,0
/global/archives/14309,Direct,12,9,8,1.5,7.5,47,0,0
/global/archives/15259,Organic Search,12,13,12,1,16.166666666666668,50,0,0
/global/archives/15374,Direct,12,12,12,1,4,46,0,0
/global/archives/15985,Organic Search,12,10,9,1.3333333333333333,16.333333333333332,54,0,0
/global/archives/16060,Referral,12,9,9,1.3333333333333333,50.111111111111114,49,0,0
/global/archives/16939,Direct,12,14,8,1.5,7.5,56,0,0
/global/archives/17978,Organic Search,12,10,9,1.3333333333333333,13.222222222222221,50,0,0
/global/archives/17989,Referral,12,10,9,1.3333333333333333,91.55555555555556,47,0,0
/global/archives/564,Organic Search,12,12,10,1.2,42,55,0,0
/global/archives/7245,Direct,12,11,11,1.0909090909090908,4.2727272727272725,47,0,0
/global/archives/7319,Organic Search,12,14,11,1.0909090909090908,23.727272727272727,50,0,0
/global/archives/8360,Direct,12,10,8,1.5,76.375,47,0,0
/global/archives/9910,Direct,12,10,10,1.2,14.2,45,0,0
/global/archives/category/corporates/sk-enterm,Direct,12,11,9,1.3333333333333333,8.333333333333334,49,0,0
/global/archives/tag/green-bonds,Organic Search,12,10,10,1.2,11.8,60,0,0
/global/terms-and-conditions,Direct,12,6,6,2,71.16666666666667,46,0,0
/global/archives/12190,Direct,11,5,5,2.2,14.8,32,0,0
/global/archives/12269,Organic Search,11,13,10,1.1,27.8,53,0,0
/global/archives/13130,Organic Search,11,10,9,1.2222222222222223,21.666666666666668,38,0,0
/global/archives/13521,Direct,11,10,9,1.2222222222222223,15.11111111111111,46,0,0
/global/archives/14193,Organic Search,11,10,9,1.2222222222222223,63.888888888888886,49,0,0
/global/archives/14493,Organic Search,11,10,9,1.2222222222222223,16.444444444444443,47,0,0
/global/archives/15259,Direct,11,11,9,1.2222222222222223,9.444444444444445,49,0,0
/global/archives/15689,Organic Search,11,9,8,1.375,71.375,46,0,0
/global/archives/17569,Direct,11,11,10,1.1,12.6,52,0,0
/global/archives/17623,Direct,11,10,9,1.2222222222222223,0.7777777777777778,43,0,0
/global/archives/17817,Direct,11,9,5,2.2,1.2,33,0,0
/global/archives/18283,Paid Search,11,11,2,5.5,0,33,0,0
/global/archives/4482,Organic Search,11,13,9,1.2222222222222223,44.44444444444444,51,0,0
/global/archives/6377,Organic Search,11,11,10,1.1,5.9,46,0,0
/global/archives/6462,Organic Search,11,9,7,1.5714285714285714,60.42857142857143,47,0,0
/global/archives/7476,Organic Search,11,12,10,1.1,32.7,49,0,0
/global/archives/category/corporate/sk-on,Direct,11,10,3,3.6666666666666665,32.333333333333336,43,0,0
/global/archives/tag/lithium-ion-battery,Organic Search,11,11,10,1.1,22.3,51,0,0
