# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: SK이노베이션(한글)
# 속성: SK이노베이션 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240201
# 종료일: 20240229
페이지 경로 및 화면 클래스,세션 소스,조회수,사용자,사용자당 조회수,평균 참여 시간,이벤트 수,전환,총 수익
/archives/105676,google,18,16,1.125,42.5625,85,0,0
/archives/107289,google,18,13,1.3846153846153846,158.69230769230768,71,0,0
/archives/110144,google,18,17,1.0588235294117647,28.88235294117647,83,0,0
/archives/110819,google,18,16,1.125,39.125,67,0,0
/archives/113218,google,18,16,1.125,10.375,88,0,0
/archives/113797,naver,18,15,1.2,100.6,73,0,0
/archives/113855,naver,18,15,1.2,62.2,82,0,0
/archives/113942,(direct),18,15,1.2,17.733333333333334,68,0,0
/archives/114014,(direct),18,15,1.2,10.2,68,0,0
/archives/114118,(direct),18,17,1.0588235294117647,12.058823529411764,67,0,0
/archives/11700,google,18,18,1,42.833333333333336,96,0,0
/archives/14875,google,18,17,1.0588235294117647,12.058823529411764,98,0,0
/archives/21354,google,18,16,1.125,29.875,86,0,0
/archives/28157,google,18,15,1.2,39.46666666666667,85,0,0
/archives/38114,google,18,16,1.125,22.75,77,0,0
/archives/63622,naver,18,17,1.0588235294117647,33.8235294117647,91,0,0
/archives/72104,google,18,14,1.2857142857142858,40.714285714285715,82,0,0
/archives/7348,google,18,18,1,156.33333333333334,90,0,0
/archives/77093,google,18,15,1.2,18.866666666666667,87,0,0
/archives/88198,google,18,14,1.2857142857142858,112.14285714285714,77,0,0
/archives/9660,google,18,9,2,46.55555555555556,75,0,0
/archives/tag/일하는-방식의-혁신,google,18,10,1.8,25.3,77,0,0
/,youtube,17,1,17,117,82,0,0
/archives/100667,naver,17,15,1.1333333333333333,101.33333333333333,90,0,0
/archives/101248,skenergy.com,17,16,1.0625,44.625,78,0,0
/archives/103947,(direct),17,14,1.2142857142857142,5.214285714285714,72,0,0
/archives/104049,google,17,17,1,28.235294117647058,86,0,0
/archives/110471,google,17,15,1.1333333333333333,39.2,71,0,0
/archives/112487,google,17,16,1.0625,28.75,80,0,0
/archives/114038,(direct),17,15,1.1333333333333333,14.933333333333334,64,0,0
/archives/24588,google,17,17,1,34.88235294117647,91,0,0
/archives/25596,google,17,14,1.2142857142857142,50.57142857142857,86,0,0
/archives/7696,google,17,16,1.0625,65.125,88,0,0
/archives/87190,google,17,16,1.0625,56.5625,86,0,0
/archives/98756,google,17,11,1.5454545454545454,31.545454545454547,74,0,0
/archives/99547,google,17,14,1.2142857142857142,61,78,0,0
/archives/category/2023,google,17,7,2.4285714285714284,10.857142857142858,70,0,0
/archives/category/business/sk-incheonpetrochem,google,17,14,1.2142857142857142,11,62,0,0
/archives/category/field-news/inno-people,naver,17,16,1.0625,27.3125,69,0,0
/archives/category/industry-and-insight/basics,sk-on.com,17,13,1.3076923076923077,11.846153846153847,65,0,0
/archives/tag/sk-supex추구협의회,naver,17,13,1.3076923076923077,13.692307692307692,81,0,0
/newsroom-guide,google,17,10,1.7,26.2,79,0,0
/archives/102980,naver,16,14,1.1428571428571428,42.07142857142857,79,0,0
/archives/105770,google,16,12,1.3333333333333333,55.75,68,0,0
/archives/111387,google,16,14,1.1428571428571428,28.285714285714285,74,0,0
/archives/111652,google,16,13,1.2307692307692308,33.30769230769231,64,0,0
/archives/113197,google,16,12,1.3333333333333333,35.833333333333336,64,0,0
/archives/113680,naver.com,16,15,1.0666666666666667,24.4,69,0,0
/archives/113797,(direct),16,14,1.1428571428571428,80.28571428571429,68,0,0
/archives/113998,naver.com,16,13,1.2307692307692308,42.30769230769231,66,0,0
/archives/114052,sk-on.com,16,14,1.1428571428571428,67.5,58,0,0
/archives/22283,google,16,16,1,94,87,0,0
/archives/47000,google,16,14,1.1428571428571428,22.214285714285715,78,0,0
/archives/48028,(direct),16,14,1.1428571428571428,9.5,77,0,0
